GPS log at 10hz
Latitude,Longitude,Timestep
570165583,99836900,133099
570165550,99836967,133200
570165550,99836933,133300
570165517,99837100,133400
570165517,99837083,133500
570165517,99837050,133592
570165500,99837117,133700
570165483,99837183,133800
570165467,99837250,133899
570165467,99837300,133998
570165467,99837267,134098
570165483,99837233,134199
570165467,99837300,134299
570165450,99837283,134404
570165450,99837283,134501
570165467,99837267,134600
570165433,99837350,134699
570165433,99837333,134800
570165433,99837350,134900
570165433,99837333,134999
570165400,99837433,135099
570165383,99837517,135201
570165383,99837500,135298
570165383,99837483,135402
570165367,99837583,135500
570165367,99837567,135600
570165367,99837550,135700
570165383,99837533,135800
570165367,99837633,135900
570165367,99837600,136001
570165350,99837683,136100
570165350,99837650,136198
570165333,99837733,136300
570165333,99837700,136400
570165350,99837667,136498
570165350,99837650,136598
570165367,99837617,136700
570165383,99837583,136799
570165383,99837550,136900
570165400,99837533,136999
570165400,99837500,137100
570165417,99837450,137199
570165433,99837417,137301
570165417,99837483,137400
570165417,99837450,137502
570165417,99837450,137600
570165400,99837517,137699
570165400,99837583,137801
570165383,99837667,137901
570165383,99837683,138000
570165417,99837633,138101
570165417,99837683,138200
570165433,99837633,138300
570165433,99837633,138408
570165417,99837733,138500
570165417,99837717,138601
570165400,99837800,138701
570165400,99837800,138800
570165417,99837783,138900
570165417,99837783,139000
570165433,99837767,139100
570165433,99837767,139200
570165433,99837750,139301
570165450,99837733,139400
570165450,99837733,139500
570165467,99837717,139601
570165467,99837700,139701
570165483,99837683,139799
570165500,99837667,139900
570165517,99837650,140000
570165517,99837650,140100
570165533,99837633,140200
570165533,99837633,140300
570165533,99837650,140401
570165533,99837650,140502
570165533,99837650,140600
570165550,99837633,140702
570165550,99837617,140800
570165567,99837600,140900
570165583,99837583,141001
570165600,99837550,141102
570165617,99837517,141201
570165633,99837483,141300
570165650,99837450,141401
570165667,99837450,141500
570165667,99837433,141600
570165683,99837400,141699
570165700,99837383,141799
570165717,99837350,141900
570165717,99837317,141992
570165733,99837300,142100
570165733,99837283,142199
570165750,99837250,142294
570165733,99837250,142408
570165733,99837267,142500
570165733,99837233,142593
570165750,99837217,142698
570165717,99837317,142801
570165733,99837283,142900
570165733,99837267,143000
570165750,99837250,143100
570165733,99837283,143202
570165717,99837283,143300
570165717,99837283,143398
570165717,99837267,143503
570165717,99837283,143602
570165700,99837283,143702
570165700,99837300,143801
570165683,99837317,143902
570165667,99837317,144001
570165650,99837317,144100
570165650,99837317,144200
570165600,99837467,144301
570165600,99837483,144402
570165600,99837467,144500
570165600,99837467,144601
570165600,99837450,144700
570165600,99837433,144801
570165600,99837433,144900
570165617,99837400,145001
570165617,99837383,145101
570165617,99837367,145201
570165633,99837333,145302
570165617,99837383,145402
570165617,99837417,145501
570165617,99837400,145600
570165633,99837367,145701
570165650,99837333,145800
570165667,99837283,145901
570165683,99837233,146001
570165700,99837183,146099
570165733,99837133,146200
570165750,99837117,146300
570165750,99837117,146406
570165733,99837150,146500
570165733,99837150,146600
570165733,99837150,146699
570165750,99837117,146799
570165750,99837100,146899
570165750,99837100,147000
570165750,99837100,147101
570165750,99837100,147202
570165750,99837100,147301
570165750,99837100,147401
570165750,99837083,147499
570165750,99837067,147601
570165733,99837067,147699
570165733,99837083,147799
570165733,99837100,147901
570165683,99837217,148002
570165667,99837300,148101
570165667,99837283,148199
570165650,99837367,148300
570165633,99837433,148399
570165583,99837583,148499
570165600,99837567,148600
570165600,99837550,148699
570165617,99837533,148799
570165617,99837517,148901
570165633,99837483,148999
570165650,99837467,149099
570165667,99837433,149201
570165667,99837433,149301
570165667,99837417,149401
570165683,99837383,149501
570165700,99837367,149600
570165700,99837350,149699
570165717,99837333,149799
570165717,99837317,149901
570165717,99837300,149999
570165733,99837267,150099
570165750,99837233,150199
570165767,99837200,150301
570165767,99837200,150406
570165767,99837200,150500
570165767,99837200,150601
570165767,99837183,150699
570165783,99837167,150801
570165767,99837167,150901
570165767,99837167,151001
570165767,99837183,151099
570165767,99837183,151201
570165767,99837167,151299
570165767,99837167,151401
570165750,99837183,151501
570165750,99837167,151602
570165750,99837167,151701
570165733,99837183,151801
570165717,99837183,151899
570165717,99837200,152000
570165717,99837183,152101
570165717,99837183,152199
570165717,99837167,152300
570165733,99837150,152401
570165717,99837217,152502
570165717,99837200,152599
570165717,99837183,152699
570165717,99837183,152799
570165650,99837333,152901
570165650,99837333,153001
570165650,99837317,153099
570165667,99837300,153201
570165667,99837283,153299
570165667,99837250,153402
570165650,99837317,153501
570165650,99837300,153599
570165683,99837267,153700
570165700,99837217,153799
570165733,99837167,153899
570165750,99837117,154002
570165783,99837083,154100
570165750,99837200,154201
570165717,99837333,154302
570165683,99837433,154405
570165650,99837533,154499
